transcript_id	num_clusters	high_coverage	low_coverage	high_quality_percent	low_quality_percent	start_wobble_list	end_wobble_list	collapse_sj_start_err	collapse_sj_end_err	collapse_error_nuc
G1.1	2	99.96	99.96	99.96	99.87	9,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G2.1	1	99.92	99.92	99.86	99.86	0,0	0,0	0,0	0,0	0>0
G3.1	1	100.0	100.0	100.0	100.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G4.1	1	100.0	100.0	99.94	99.94	0,0,0	0,0,0	0,0,0	0,0,0	0>0;0>0
G5.1	1	100.0	100.0	99.78	99.78	0	0	0	0	na
G6.1	1	99.96	99.96	99.68	99.68	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>8I;0>0;0>0;0>0
G7.1	1	99.87	99.87	99.21	99.21	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;1I_6M>0
G7.2	1	99.95	99.95	99.95	99.95	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
G8.1	1	100.0	100.0	99.96	99.96	0,0,0	0,0,0	0,0,0	0,0,0	0>0;0>0
G9.1	1	99.95	99.95	99.95	99.95	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0;0>0
